time_merge_log,odom_pos_x,odom_pos_y,odom_pos_z,odom_ori_x,odom_ori_y,odom_ori_z,odom_ori_w,odom_linear_x,odom_linear_y,odom_linear_z,odom_angular_x,odom_angular_y,odom_angular_z,odom_jarak_cm,odom_heading_deg,odom_timestamp,joint_left_wheel_rpm,joint_right_wheel_rpm,joint_timestamp,loadcell_berat_kg,loadcell_timestamp,interval_s,elapsed_time_s
1752488294.8425536,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1752488294.6664875,nan,nan,nan,0.20433783531188965
1752488294.9339566,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752488294.7330902,0.0,0.0,1752488294.807085,0.03999999910593033,1752488294.900263,0.09140300750732422,0.29574084281921387
1752488294.9840176,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752488294.8418162,0.0,0.0,1752488294.8877685,0.03999999910593033,1752488294.900263,0.05006098747253418,0.34580183029174805
1752488295.0019658,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752488294.887824,0.0,0.0,1752488294.892406,0.03999999910593033,1752488294.900263,0.017948150634765625,0.36374998092651367
1752488295.053838,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752488294.951373,0.0,0.0,1752488294.9513414,0.03999999910593033,1752488294.900263,0.05187225341796875,0.4156222343444824
1752488295.111703,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752488295.0158339,0.0,0.0,1752488294.9554853,0.03999999910593033,1752488294.900263,0.05786490440368652,0.47348713874816895
1752488295.180076,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752488295.0446537,0.0,0.0,1752488295.0198169,0.03999999910593033,1752488294.900263,0.06837296485900879,0.5418601036071777
1752488295.2195027,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752488295.094187,0.0,0.0,1752488295.0941708,0.03999999910593033,1752488295.1970317,0.03942680358886719,0.5812869071960449
1752488295.2666326,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752488295.1476204,0.0,0.0,1752488295.116497,0.03999999910593033,1752488295.1970317,0.04712986946105957,0.6284167766571045
1752488295.3303444,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752488295.1580055,0.0,0.0,1752488295.1918914,0.03999999910593033,1752488295.1970317,0.06371188163757324,0.6921286582946777
1752488295.3846498,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752488295.233696,0.0,0.0,1752488295.2561698,0.03999999910593033,1752488295.1970317,0.054305315017700195,0.7464339733123779
1752488295.4207785,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752488295.2827787,0.0,0.0,1752488295.2931824,0.03999999910593033,1752488295.1970317,0.03612875938415527,0.7825627326965332
1752488295.4957836,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752488295.3401933,0.0,0.0,1752488295.3539636,0.03999999910593033,1752488295.1970317,0.07500505447387695,0.8575677871704102
1752488295.5244472,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752488295.3401933,0.0,0.0,1752488295.3983147,0.03999999910593033,1752488295.1970317,0.02866363525390625,0.8862314224243164
1752488295.5568523,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752488295.4733646,0.0,0.0,1752488295.4733486,0.03999999910593033,1752488295.1970317,0.03240513801574707,0.9186365604400635
1752488295.673285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752488295.5750012,0.0,0.0,1752488295.5413542,0.03999999910593033,1752488295.1970317,0.11643266677856445,1.035069227218628
1752488295.7800016,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752488295.5977778,0.0,0.0,1752488295.5749846,0.03999999910593033,1752488295.1970317,0.10671663284301758,1.1417858600616455
1752488295.8290412,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752488295.685379,0.0,0.0,1752488295.6798754,0.03999999910593033,1752488295.7870061,0.049039602279663086,1.1908254623413086
1752488295.8920782,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752488295.7556505,0.0,0.0,1752488295.7326941,0.03999999910593033,1752488295.7870061,0.06303691864013672,1.2538623809814453
1752488295.9041271,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752488295.79524,0.0,0.0,1752488295.8021739,0.03999999910593033,1752488295.7870061,0.012048959732055664,1.265911340713501
1752488296.0462399,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752488295.8727453,0.0,0.0,1752488295.8917227,0.03999999910593033,1752488295.7870061,0.14211273193359375,1.4080240726470947
1752488296.1963303,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752488295.93371,0.0,0.0,1752488295.9791973,0.03999999910593033,1752488295.7870061,0.15009045600891113,1.5581145286560059
1752488296.2175105,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752488296.0952115,0.0,0.0,1752488296.091392,0.03999999910593033,1752488296.199123,0.021180152893066406,1.5792946815490723
