time_merge_log,odom_pos_x,odom_pos_y,odom_pos_z,odom_ori_x,odom_ori_y,odom_ori_z,odom_ori_w,odom_linear_x,odom_linear_y,odom_linear_z,odom_angular_x,odom_angular_y,odom_angular_z,odom_jarak_cm,odom_heading_deg,odom_timestamp,loadcell_berat_kg,loadcell_timestamp,plan_last_pose_x,plan_last_pose_y,plan_last_pose_z,plan_last_ori_x,plan_last_ori_y,plan_last_ori_z,plan_last_ori_w,plan_num_poses,plan_timestamp,tf_pos_x,tf_pos_y,tf_pos_z,tf_timestamp,tf_source_frame,tf_target_frame,interval_s,elapsed_time_s
1753886897.803754,8.550428527780563e-06,0.00024321312210725523,0.0,0.0,0.0,1.3877787807814457e-17,1.0,6.106226635438361e-17,0.0,0.0,0.0,0.0,-3.108624468950438e-16,0.02,1.5902773407317584e-15,1753886897.7545905,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.550428527780563e-06,0.00024321312210725523,0.0,1753886897.7793152,odom,base_link,nan,0.0713033676147461
1753886897.8504581,8.550428527780563e-06,0.00024321312210725523,0.0,0.0,0.0,1.3877787807814457e-17,1.0,6.106226635438361e-17,0.0,0.0,0.0,0.0,-3.108624468950438e-16,0.02,1.5902773407317584e-15,1753886897.8182056,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.550428527780563e-06,0.00024321312210725523,0.0,1753886897.7917423,odom,base_link,0.04670405387878418,0.11800742149353027
1753886897.8987517,8.550428527780563e-06,0.00024321312210725523,0.0,0.0,0.0,1.3877787807814457e-17,1.0,6.106226635438361e-17,0.0,0.0,0.0,0.0,-3.108624468950438e-16,0.02,1.5902773407317584e-15,1753886897.8921423,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.550428527780563e-06,0.00024321312210725523,0.0,1753886897.8424056,odom,base_link,0.0482935905456543,0.16630101203918457
1753886897.94954,8.550428527780563e-06,0.00024321312210725523,0.0,0.0,0.0,1.3877787807814457e-17,1.0,6.106226635438361e-17,0.0,0.0,0.0,0.0,-3.108624468950438e-16,0.02,1.5902773407317584e-15,1753886897.9168334,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.550428527780563e-06,0.00024321312210725523,0.0,1753886897.8921423,map,base_link,0.050788164138793945,0.21708917617797852
1753886898.0061028,8.550428527780563e-06,0.00024321312210725523,0.0,0.0,0.0,1.3877787807814457e-17,1.0,6.106226635438361e-17,0.0,0.0,0.0,0.0,-3.108624468950438e-16,0.02,1.5902773407317584e-15,1753886897.979378,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.550428527780563e-06,0.00024321312210725523,0.0,1753886897.95436,map,base_link,0.05656290054321289,0.2736520767211914
1753886898.0647428,8.550428527780563e-06,0.00024321312210725523,0.0,0.0,0.0,1.3877787807814457e-17,1.0,6.106226635438361e-17,0.0,0.0,0.0,0.0,-3.108624468950438e-16,0.02,1.5902773407317584e-15,1753886898.0168018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.550428527780563e-06,0.00024321312210725523,0.0,1753886898.0168018,map,base_link,0.0586400032043457,0.3322920799255371
1753886898.1017537,8.550428527780563e-06,0.00024321312210725523,0.0,0.0,0.0,1.3877787807814457e-17,1.0,6.106226635438361e-17,0.0,0.0,0.0,0.0,-3.108624468950438e-16,0.02,1.5902773407317584e-15,1753886898.0793767,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.550428527780563e-06,0.00024321312210725523,0.0,1753886898.0793767,map,base_link,0.037010908126831055,0.36930298805236816
1753886898.14918,8.550428527780563e-06,0.00024321312210725523,0.0,0.0,0.0,1.3877787807814457e-17,1.0,6.106226635438361e-17,0.0,0.0,0.0,0.0,-3.108624468950438e-16,0.02,1.5902773407317584e-15,1753886898.1419024,0.019999999552965164,1753886898.123611,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.550428527780563e-06,0.00024321312210725523,0.0,1753886898.116825,map,base_link,0.04742622375488281,0.416729211807251
1753886898.2071576,8.550428527780563e-06,0.00024321312210725523,0.0,0.0,0.0,1.3877787807814457e-17,1.0,6.106226635438361e-17,0.0,0.0,0.0,0.0,-3.108624468950438e-16,0.02,1.5902773407317584e-15,1753886898.1918602,0.019999999552965164,1753886898.123611,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.550428527780563e-06,0.00024321312210725523,0.0,1753886898.1918602,map,base_link,0.05797767639160156,0.47470688819885254
1753886898.274008,8.550428527780563e-06,0.00024321312210725523,0.0,0.0,0.0,1.3877787807814457e-17,1.0,6.106226635438361e-17,0.0,0.0,0.0,0.0,-3.108624468950438e-16,0.02,1.5902773407317584e-15,1753886898.2167273,0.019999999552965164,1753886898.123611,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.550428527780563e-06,0.00024321312210725523,0.0,1753886898.1918602,map,base_link,0.06685042381286621,0.5415573120117188
1753886898.3004913,8.550428527780563e-06,0.00024321312210725523,0.0,0.0,0.0,1.3877787807814457e-17,1.0,6.106226635438361e-17,0.0,0.0,0.0,0.0,-3.108624468950438e-16,0.02,1.5902773407317584e-15,1753886898.2421348,0.019999999552965164,1753886898.123611,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.550428527780563e-06,0.00024321312210725523,0.0,1753886898.2167273,map,base_link,0.02648329734802246,0.5680406093597412
