time_merge_log,odom_pos_x,odom_pos_y,odom_pos_z,odom_ori_x,odom_ori_y,odom_ori_z,odom_ori_w,odom_linear_x,odom_linear_y,odom_linear_z,odom_angular_x,odom_angular_y,odom_angular_z,odom_jarak_cm,odom_heading_deg,odom_timestamp,joint_left_wheel_rpm,joint_right_wheel_rpm,joint_timestamp,loadcell_berat_kg,loadcell_timestamp,tf_pos_x,tf_pos_y,tf_pos_z,tf_timestamp,tf_source_frame,tf_target_frame,interval_s,elapsed_time_s
1753886928.0932686,8.550428527780563e-06,0.00024321312210725523,0.0,0.0,0.0,1.3877787807814457e-17,1.0,6.106226635438361e-17,0.0,0.0,0.0,0.0,-3.108624468950438e-16,0.02,1.5902773407317584e-15,1753886928.016841,0.0,0.0,1753886928.041953,nan,nan,8.550428527780563e-06,0.00024321312210725523,0.0,1753886928.0419633,odom,base_link,nan,0.06575369834899902
1753886928.1375358,8.550428527780563e-06,0.00024321312210725523,0.0,0.0,0.0,1.3877787807814457e-17,1.0,6.106226635438361e-17,0.0,0.0,0.0,0.0,-3.108624468950438e-16,0.02,1.5902773407317584e-15,1753886928.1172953,0.0,0.0,1753886928.104236,nan,nan,8.550428527780563e-06,0.00024321312210725523,0.0,1753886928.091755,odom,base_link,0.04426717758178711,0.11002087593078613
1753886928.205851,8.550428527780563e-06,0.00024321312210725523,0.0,0.0,0.0,1.3877787807814457e-17,1.0,6.106226635438361e-17,0.0,0.0,0.0,0.0,-3.108624468950438e-16,0.02,1.5902773407317584e-15,1753886928.1793234,0.0,0.0,1753886928.1793137,0.029999999329447746,1753886928.1516728,8.550428527780563e-06,0.00024321312210725523,0.0,1753886928.154392,map,base_link,0.06831526756286621,0.17833614349365234
1753886928.2367446,8.550428527780563e-06,0.00024321312210725523,0.0,0.0,0.0,1.3877787807814457e-17,1.0,6.106226635438361e-17,0.0,0.0,0.0,0.0,-3.108624468950438e-16,0.02,1.5902773407317584e-15,1753886928.2167554,0.0,0.0,1753886928.2294526,0.029999999329447746,1753886928.1516728,8.550428527780563e-06,0.00024321312210725523,0.0,1753886928.2167554,map,base_link,0.030893564224243164,0.2092297077178955
1753886928.2901933,8.550428527780563e-06,0.00024321312210725523,0.0,0.0,0.0,1.3877787807814457e-17,1.0,6.106226635438361e-17,0.0,0.0,0.0,0.0,-3.108624468950438e-16,0.02,1.5902773407317584e-15,1753886928.279355,0.0,0.0,1753886928.2793434,0.029999999329447746,1753886928.1516728,8.550428527780563e-06,0.00024321312210725523,0.0,1753886928.254314,map,base_link,0.05344867706298828,0.2626783847808838
1753886928.3436134,8.550428527780563e-06,0.00024321312210725523,0.0,0.0,0.0,1.3877787807814457e-17,1.0,6.106226635438361e-17,0.0,0.0,0.0,0.0,-3.108624468950438e-16,0.02,1.5902773407317584e-15,1753886928.3167171,0.0,0.0,1753886928.329261,0.029999999329447746,1753886928.1516728,8.550428527780563e-06,0.00024321312210725523,0.0,1753886928.3167171,map,base_link,0.053420066833496094,0.3160984516143799
1753886928.389415,8.550428527780563e-06,0.00024321312210725523,0.0,0.0,0.0,1.3877787807814457e-17,1.0,6.106226635438361e-17,0.0,0.0,0.0,0.0,-3.108624468950438e-16,0.02,1.5902773407317584e-15,1753886928.379292,0.0,0.0,1753886928.3792818,0.029999999329447746,1753886928.1516728,8.550428527780563e-06,0.00024321312210725523,0.0,1753886928.379292,map,base_link,0.045801639556884766,0.36190009117126465
1753886928.4425159,8.550428527780563e-06,0.00024321312210725523,0.0,0.0,0.0,1.3877787807814457e-17,1.0,6.106226635438361e-17,0.0,0.0,0.0,0.0,-3.108624468950438e-16,0.02,1.5902773407317584e-15,1753886928.4168055,0.0,0.0,1753886928.4167943,0.029999999329447746,1753886928.1516728,8.550428527780563e-06,0.00024321312210725523,0.0,1753886928.4168055,map,base_link,0.0531008243560791,0.41500091552734375
1753886928.5428092,8.550428527780563e-06,0.00024321312210725523,0.0,0.0,0.0,1.3877787807814457e-17,1.0,6.106226635438361e-17,0.0,0.0,0.0,0.0,-3.108624468950438e-16,0.02,1.5902773407317584e-15,1753886928.4168055,0.0,0.0,1753886928.4167943,0.029999999329447746,1753886928.1516728,8.550428527780563e-06,0.00024321312210725523,0.0,1753886928.4168055,map,base_link,0.10029339790344238,0.5152943134307861
1753886928.5891972,8.550428527780563e-06,0.00024321312210725523,0.0,0.0,0.0,1.3877787807814457e-17,1.0,6.106226635438361e-17,0.0,0.0,0.0,0.0,-3.108624468950438e-16,0.02,1.5902773407317584e-15,1753886928.4168055,0.0,0.0,1753886928.4167943,0.029999999329447746,1753886928.1516728,8.550428527780563e-06,0.00024321312210725523,0.0,1753886928.4168055,map,base_link,0.04638791084289551,0.5616822242736816
