time_merge_log,odom_pos_x,odom_pos_y,odom_pos_z,odom_ori_x,odom_ori_y,odom_ori_z,odom_ori_w,odom_linear_x,odom_linear_y,odom_linear_z,odom_angular_x,odom_angular_y,odom_angular_z,odom_jarak_cm,odom_heading_deg,odom_timestamp,tf_pos_x,tf_pos_y,tf_pos_z,tf_timestamp,tf_source_frame,tf_target_frame,interval_s,elapsed_time_s
1754054848.6050286,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754054848.4989417,nan,nan,nan,nan,,,nan,0.08431458473205566
1754054848.6475382,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754054848.623843,0.0,0.0,0.0,1754054848.5863326,odom,base_link,0.04250955581665039,0.12682414054870605
1754054848.7046645,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754054848.6879406,-0.05961086936958912,-0.034434119316285414,0.0,1754054848.6879406,map,base_link,0.05712628364562988,0.18395042419433594
1754054848.7537065,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754054848.7237272,-0.05961086936958912,-0.034434119316285414,0.0,1754054848.6989067,map,base_link,0.0490419864654541,0.23299241065979004
1754054848.7978044,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754054848.7625895,-0.05961086936958912,-0.034434119316285414,0.0,1754054848.7625895,map,base_link,0.044097900390625,0.27709031105041504
1754054848.848373,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754054848.823763,-0.05961086936958912,-0.034434119316285414,0.0,1754054848.823763,map,base_link,0.050568580627441406,0.32765889167785645
1754054848.896804,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754054848.887716,-0.05961086936958912,-0.034434119316285414,0.0,1754054848.8614683,map,base_link,0.0484311580657959,0.37609004974365234
1754054848.9484332,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754054848.9238164,-0.05961086936958912,-0.034434119316285414,0.0,1754054848.9238164,map,base_link,0.051629066467285156,0.4277191162109375
1754054849.0007446,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754054848.9871252,-0.05961086936958912,-0.034434119316285414,0.0,1754054848.9649203,map,base_link,0.05231142044067383,0.48003053665161133
1754054849.0475054,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754054849.0237563,-0.05961086936958912,-0.034434119316285414,0.0,1754054849.0237563,map,base_link,0.04676079750061035,0.5267913341522217
1754054849.092495,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754054849.0870786,-0.05961086936958912,-0.034434119316285414,0.0,1754054849.0611744,map,base_link,0.044989585876464844,0.5717809200286865
