time_merge_log,odom_pos_x,odom_pos_y,odom_pos_z,odom_ori_x,odom_ori_y,odom_ori_z,odom_ori_w,odom_linear_x,odom_linear_y,odom_linear_z,odom_angular_x,odom_angular_y,odom_angular_z,odom_jarak_cm,odom_heading_deg,odom_timestamp,tf_pos_x,tf_pos_y,tf_pos_z,tf_timestamp,tf_source_frame,tf_target_frame,interval_s,elapsed_time_s
1753973032.571947,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753973032.476169,0.0,0.0,0.0,1753973032.5107863,odom,base_link,nan,0.08896017074584961
1753973032.6166787,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753973032.5358655,0.0,0.0,0.0,1753973032.5358655,odom,base_link,0.04473161697387695,0.13369178771972656
1753973032.6645246,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753973032.6499941,0.0,0.0,0.0,1753973032.5858204,odom,base_link,0.04784584045410156,0.18153762817382812
1753973032.7251782,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753973032.6860404,-0.04978095840586037,0.004180352653928433,0.0,1753973032.673281,map,base_link,0.0606536865234375,0.24219131469726562
1753973032.7647605,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753973032.7482448,-0.04978095840586037,0.004180352653928433,0.0,1753973032.7482448,map,base_link,0.039582252502441406,0.28177356719970703
1753973032.824544,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753973032.7857912,-0.04978095840586037,0.004180352653928433,0.0,1753973032.7857912,map,base_link,0.0597834587097168,0.34155702590942383
1753973032.8688273,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753973032.8505387,-0.04978095840586037,0.004180352653928433,0.0,1753973032.8505387,map,base_link,0.044283390045166016,0.38584041595458984
1753973032.9141607,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753973032.8858883,-0.04978095840586037,0.004180352653928433,0.0,1753973032.8858883,map,base_link,0.0453333854675293,0.43117380142211914
1753973032.9661164,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753973032.9482274,-0.04978095840586037,0.004180352653928433,0.0,1753973032.9482274,map,base_link,0.0519556999206543,0.48312950134277344
1753973033.0152853,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753973032.9988835,-0.04978095840586037,0.004180352653928433,0.0,1753973032.9988835,map,base_link,0.04916882514953613,0.5322983264923096
1753973033.1773965,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753973033.0359495,-0.04978095840586037,0.004180352653928433,0.0,1753973033.0359495,map,base_link,0.1621112823486328,0.6944096088409424
1753973033.221293,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753973033.149554,-0.049780958405860366,0.004180352653928433,0.0,1753973033.0891602,map,base_link,0.04389643669128418,0.7383060455322266
1753973033.2647917,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753973033.2482872,-0.04978095840586037,0.004180352653928433,0.0,1753973033.149554,map,base_link,0.04349875450134277,0.7818048000335693
1753973033.3140953,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753973033.2983816,-0.04978095840586037,0.004180352653928433,0.0,1753973033.1982899,map,base_link,0.049303531646728516,0.8311083316802979
1753973033.3630114,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753973033.3485959,-0.04978095840586038,0.004180352653928433,0.0,1753973033.2482872,map,base_link,0.04891610145568848,0.8800244331359863
1753973033.4178045,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753973033.3988342,-0.049780958405860366,0.004180352653928433,0.0,1753973033.310906,map,base_link,0.05479311943054199,0.9348175525665283
1753973033.4640222,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753973033.4482942,-0.04978095840586037,0.004180352653928433,0.0,1753973033.3733532,map,base_link,0.04621767997741699,0.9810352325439453
1753973033.5199301,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753973033.4986656,-0.04978095840586037,0.004180352653928433,0.0,1753973033.4482942,map,base_link,0.0559079647064209,1.0369431972503662
1753973033.5790462,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753973033.5370476,-0.04978095840586037,0.004180352653928433,0.0,1753973033.4986656,map,base_link,0.05911612510681152,1.0960593223571777
1753973033.6145127,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753973033.5982106,-0.04978095840586037,0.004180352653928433,0.0,1753973033.5483758,map,base_link,0.03546643257141113,1.1315257549285889
1753973033.6655135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753973033.648506,-0.04978095840586037,0.004180352653928433,0.0,1753973033.5982106,map,base_link,0.05100083351135254,1.1825265884399414
