time_merge_log,odom_pos_x,odom_pos_y,odom_pos_z,odom_ori_x,odom_ori_y,odom_ori_z,odom_ori_w,odom_linear_x,odom_linear_y,odom_linear_z,odom_angular_x,odom_angular_y,odom_angular_z,odom_jarak_cm,odom_heading_deg,odom_timestamp,joint_left_wheel_rpm,joint_right_wheel_rpm,joint_timestamp,loadcell_berat_kg,loadcell_timestamp,interval_s,elapsed_time_s
1753887340.580995,2.893316159336544,-0.0034939426688784937,0.0,0.0,0.0,0.030139065709408594,0.9995457151717294,-5.342948306008566e-17,0.0,0.0,0.0,0.0,4.718447854656915e-17,289.33,3.4542056074766125,1753887340.4708052,0.0,0.0,1753887340.508267,nan,nan,nan,0.06757926940917969
1753887340.6172504,2.893316159336544,-0.0034939426688784937,0.0,0.0,0.0,0.030139065709408594,0.9995457151717294,-5.342948306008566e-17,0.0,0.0,0.0,0.0,4.718447854656915e-17,289.33,3.4542056074766125,1753887340.5970027,0.0,0.0,1753887340.6082323,nan,nan,0.0362553596496582,0.10383462905883789
1753887340.6797338,2.893316159336544,-0.0034939426688784937,0.0,0.0,0.0,0.030139065709408594,0.9995457151717294,-5.342948306008566e-17,0.0,0.0,0.0,0.0,4.718447854656915e-17,289.33,3.4542056074766125,1753887340.6583405,0.0,0.0,1753887340.6583304,nan,nan,0.06248331069946289,0.16631793975830078
1753887340.7265682,2.893316159336544,-0.0034939426688784937,0.0,0.0,0.0,0.030139065709408594,0.9995457151717294,-5.342948306008566e-17,0.0,0.0,0.0,0.0,4.718447854656915e-17,289.33,3.4542056074766125,1753887340.6957388,0.0,0.0,1753887340.708211,30.100000381469727,1753887340.6812894,0.046834468841552734,0.21315240859985352
1753887340.7670376,2.893316159336544,-0.0034939426688784937,0.0,0.0,0.0,0.030139065709408594,0.9995457151717294,-5.342948306008566e-17,0.0,0.0,0.0,0.0,4.718447854656915e-17,289.33,3.4542056074766125,1753887340.7582963,0.0,0.0,1753887340.7582877,30.100000381469727,1753887340.6812894,0.04046940803527832,0.25362181663513184
1753887340.8215463,2.893316159336544,-0.0034939426688784937,0.0,0.0,0.0,0.030139065709408594,0.9995457151717294,-5.342948306008566e-17,0.0,0.0,0.0,0.0,4.718447854656915e-17,289.33,3.4542056074766125,1753887340.795715,0.0,0.0,1753887340.8082526,30.100000381469727,1753887340.6812894,0.05450868606567383,0.30813050270080566
1753887340.8723762,2.893316159336544,-0.0034939426688784937,0.0,0.0,0.0,0.030139065709408594,0.9995457151717294,-5.342948306008566e-17,0.0,0.0,0.0,0.0,4.718447854656915e-17,289.33,3.4542056074766125,1753887340.8584278,0.0,0.0,1753887340.858418,30.100000381469727,1753887340.6812894,0.05082988739013672,0.3589603900909424
1753887340.966849,2.893316159336544,-0.0034939426688784937,0.0,0.0,0.0,0.030139065709408594,0.9995457151717294,-5.342948306008566e-17,0.0,0.0,0.0,0.0,4.718447854656915e-17,289.33,3.4542056074766125,1753887340.8708143,0.0,0.0,1753887340.8956745,30.100000381469727,1753887340.6812894,0.09447288513183594,0.4534332752227783
1753887341.037483,2.893316159336544,-0.0034939426688784937,0.0,0.0,0.0,0.030139065709408594,0.9995457151717294,-5.342948306008566e-17,0.0,0.0,0.0,0.0,4.718447854656915e-17,289.33,3.4542056074766125,1753887340.995865,0.0,0.0,1753887340.9958565,30.100000381469727,1753887340.6812894,0.0706338882446289,0.5240671634674072
1753887341.0666354,2.893316159336544,-0.0034939426688784937,0.0,0.0,0.0,0.030139065709408594,0.9995457151717294,-5.342948306008566e-17,0.0,0.0,0.0,0.0,4.718447854656915e-17,289.33,3.4542056074766125,1753887341.0589273,0.0,0.0,1753887341.0589168,30.100000381469727,1753887340.6812894,0.029152393341064453,0.5532195568084717
1753887341.123451,2.893316159336544,-0.0034939426688784937,0.0,0.0,0.0,0.030139065709408594,0.9995457151717294,-5.342948306008566e-17,0.0,0.0,0.0,0.0,4.718447854656915e-17,289.33,3.4542056074766125,1753887341.0962217,0.0,0.0,1753887341.1086023,30.100000381469727,1753887340.6812894,0.05681562423706055,0.6100351810455322
1753887341.1679668,2.893316159336544,-0.0034939426688784937,0.0,0.0,0.0,0.030139065709408594,0.9995457151717294,-5.342948306008566e-17,0.0,0.0,0.0,0.0,4.718447854656915e-17,289.33,3.4542056074766125,1753887341.1582763,0.0,0.0,1753887341.1582665,30.100000381469727,1753887341.1421847,0.04451584815979004,0.6545510292053223
1753887341.2197485,2.893316159336544,-0.0034939426688784937,0.0,0.0,0.0,0.030139065709408594,0.9995457151717294,-5.342948306008566e-17,0.0,0.0,0.0,0.0,4.718447854656915e-17,289.33,3.4542056074766125,1753887341.1964464,0.0,0.0,1753887341.2082484,30.100000381469727,1753887341.1421847,0.051781654357910156,0.7063326835632324
1753887341.2680564,2.893316159336544,-0.0034939426688784937,0.0,0.0,0.0,0.030139065709408594,0.9995457151717294,-5.342948306008566e-17,0.0,0.0,0.0,0.0,4.718447854656915e-17,289.33,3.4542056074766125,1753887341.258553,0.0,0.0,1753887341.2585428,30.100000381469727,1753887341.1421847,0.04830789566040039,0.7546405792236328
1753887341.3181703,2.893316159336544,-0.0034939426688784937,0.0,0.0,0.0,0.030139065709408594,0.9995457151717294,-5.342948306008566e-17,0.0,0.0,0.0,0.0,4.718447854656915e-17,289.33,3.4542056074766125,1753887341.2975614,0.0,0.0,1753887341.2975502,30.100000381469727,1753887341.1421847,0.05011391639709473,0.8047544956207275
