time_merge_log,odom_pos_x,odom_pos_y,odom_pos_z,odom_ori_x,odom_ori_y,odom_ori_z,odom_ori_w,odom_linear_x,odom_linear_y,odom_linear_z,odom_angular_x,odom_angular_y,odom_angular_z,odom_jarak_cm,odom_heading_deg,odom_timestamp,loadcell_berat_kg,loadcell_timestamp,interval_s,elapsed_time_s
1753887437.5868094,3.473424254626316,-0.6230013353181325,0.0,0.0,0.0,0.11172828574832282,0.9937387937298922,5.301314942585123e-16,0.0,0.0,0.0,0.0,-1.67615921142783e-14,352.89,12.829906542055923,1753887437.5213642,30.100000381469727,1753887437.5840466,nan,0.07665801048278809
1753887437.6175013,3.473424254626316,-0.6230013353181325,0.0,0.0,0.0,0.11172828574832282,0.9937387937298922,5.301314942585123e-16,0.0,0.0,0.0,0.0,-1.67615921142783e-14,352.89,12.829906542055923,1753887437.5583222,30.100000381469727,1753887437.5840466,0.030691862106323242,0.10734987258911133
1753887437.66345,3.473424254626316,-0.6230013353181325,0.0,0.0,0.0,0.11172828574832282,0.9937387937298922,5.301314942585123e-16,0.0,0.0,0.0,0.0,-1.67615921142783e-14,352.89,12.829906542055923,1753887437.6587617,30.100000381469727,1753887437.5840466,0.04594874382019043,0.15329861640930176
1753887437.7143548,3.473424254626316,-0.6230013353181325,0.0,0.0,0.0,0.11172828574832282,0.9937387937298922,5.301314942585123e-16,0.0,0.0,0.0,0.0,-1.67615921142783e-14,352.89,12.829906542055923,1753887437.6958418,30.100000381469727,1753887437.5840466,0.05090475082397461,0.20420336723327637
1753887437.7653158,3.473424254626316,-0.6230013353181325,0.0,0.0,0.0,0.11172828574832282,0.9937387937298922,5.301314942585123e-16,0.0,0.0,0.0,0.0,-1.67615921142783e-14,352.89,12.829906542055923,1753887437.758337,30.100000381469727,1753887437.5840466,0.05096101760864258,0.25516438484191895
1753887437.8199828,3.473424254626316,-0.6230013353181325,0.0,0.0,0.0,0.11172828574832282,0.9937387937298922,5.301314942585123e-16,0.0,0.0,0.0,0.0,-1.67615921142783e-14,352.89,12.829906542055923,1753887437.7960496,30.100000381469727,1753887437.5840466,0.054666996002197266,0.3098313808441162
1753887437.9131877,3.473424254626316,-0.6230013353181325,0.0,0.0,0.0,0.11172828574832282,0.9937387937298922,5.301314942585123e-16,0.0,0.0,0.0,0.0,-1.67615921142783e-14,352.89,12.829906542055923,1753887437.8333426,30.100000381469727,1753887437.5840466,0.09320497512817383,0.40303635597229004
1753887437.9651477,3.473739081302833,-0.6229292790239728,0.0,0.0,0.0,0.11279803847345,0.9936179358871005,0.0025776335268240785,0.0,0.0,0.0,0.0,0.017184223512140228,352.92,12.953271028037292,1753887437.95844,30.100000381469727,1753887437.947521,0.051959991455078125,0.45499634742736816
1753887438.0137293,3.473739081302833,-0.6229292790239728,0.0,0.0,0.0,0.11279803847345,0.9936179358871005,0.0025776335268240785,0.0,0.0,0.0,0.0,0.017184223512140228,352.92,12.953271028037292,1753887437.9958012,30.100000381469727,1753887437.947521,0.048581600189208984,0.5035779476165771
1753887438.0653548,3.4740537521041226,-0.6228565450388607,0.0,0.0,0.0,0.11386766046818586,0.9934959264634666,0.0025905981016446623,0.0,0.0,0.0,0.0,0.01727065401094412,352.94,13.076635514018495,1753887438.0582988,30.100000381469727,1753887437.947521,0.05162549018859863,0.5552034378051758
1753887438.1133978,3.4743682655714,-0.6227831336999842,0.0,0.0,0.0,0.11493715049286544,0.9933727656003966,0.005087692459688422,0.0,0.0,0.0,0.0,0.033917949731235866,352.97,13.199999999999866,1753887438.0961618,30.100000381469727,1753887437.947521,0.048043012619018555,0.6032464504241943
1753887438.1634674,3.4743682655714,-0.6227831336999842,0.0,0.0,0.0,0.11493715049286544,0.9933727656003966,0.005087692459688422,0.0,0.0,0.0,0.0,0.033917949731235866,352.97,13.199999999999866,1753887438.1589296,30.100000381469727,1753887437.947521,0.050069570541381836,0.6533160209655762
1753887438.2133095,3.4743682655714,-0.6227831336999842,0.0,0.0,0.0,0.11493715049286544,0.9933727656003966,0.0024970943580442904,0.0,0.0,0.0,0.0,0.01664729572027498,352.97,13.199999999999866,1753887438.1960015,30.100000381469727,1753887437.947521,0.049842119216918945,0.7031581401824951
1753887438.2628095,3.4743682655714,-0.6227831336999842,0.0,0.0,0.0,0.11493715049286544,0.9933727656003966,5.297845495633168e-16,0.0,0.0,0.0,0.0,-1.6758816556716737e-14,352.97,13.199999999999866,1753887438.25833,30.100000381469727,1753887437.947521,0.0494999885559082,0.7526581287384033
1753887438.3153188,3.47468262024661,-0.6227090453476717,0.0,0.0,0.0,0.11600650730797242,0.993248453440631,0.0026892395524335867,0.0,0.0,0.0,0.0,0.017928263682870288,353.0,13.323364485981235,1753887438.2961607,30.100000381469727,1753887437.947521,0.052509307861328125,0.8051674365997314
1753887438.3657553,3.47468262024661,-0.6227090453476717,0.0,0.0,0.0,0.11600650730797242,0.993248453440631,0.0026892395524335867,0.0,0.0,0.0,0.0,0.017928263682870288,353.0,13.323364485981235,1753887438.3606994,30.100000381469727,1753887437.947521,0.05043649673461914,0.8556039333343506
1753887438.4138198,3.47468262024661,-0.6227090453476717,0.0,0.0,0.0,0.11600650730797242,0.993248453440631,0.0026892395524335867,0.0,0.0,0.0,0.0,0.017928263682870288,353.0,13.323364485981235,1753887438.3957624,30.100000381469727,1753887438.3954048,0.048064470291137695,0.9036684036254883
