time,range_0,range_90,range_180,range_270,range_360,
1750668906.1463,inf,inf,0.800249993801117,0.503250002861023,,
1750668906.63541,inf,inf,0.79449999332428,0.502250015735626,,
1750668907.16791,inf,inf,0.798250019550324,0.502499997615814,,
1750668907.74558,inf,0.257499992847443,0.795249998569489,0.502250015735626,,
1750668908.32298,inf,inf,0.795499980449677,0.502499997615814,,
1750668908.90066,inf,inf,0.795249998569489,0.502499997615814,,
1750668909.47755,inf,inf,0.795249998569489,0.502250015735626,,
1750668909.96705,inf,inf,0.795000016689301,0.50125002861023,,
1750668910.54444,inf,inf,0.794749975204468,0.502250015735626,,
1750668910.98887,inf,inf,0.795000016689301,0.504499971866608,,
1750668911.56567,inf,inf,0.794250011444092,0.50475001335144,,
1750668912.14343,inf,inf,0.797500014305115,0.505750000476837,,
1750668912.72105,inf,inf,0.796500027179718,0.503750026226044,,
1750668913.2987,inf,inf,0.794749975204468,0.500999987125397,,
1750668913.87573,inf,inf,0.793500006198883,0.50475001335144,,
1750668914.45324,inf,inf,0.793749988079071,0.502499997615814,,
1750668915.03047,inf,inf,0.795249998569489,0.501999974250793,,
1750668915.47445,inf,inf,0.794749975204468,0.503499984741211,,
1750668916.05275,inf,inf,0.794749975204468,0.502250015735626,,
1750668916.62985,inf,inf,0.792500019073486,0.501749992370606,,
1750668917.20711,inf,inf,0.794749975204468,0.50424998998642,,
1750668917.78501,inf,inf,0.793749988079071,0.501749992370606,,
1750668918.36189,inf,inf,0.794250011444092,0.501500010490418,,
1750668918.89495,inf,inf,0.798500001430512,0.505249977111816,,
1750668919.42805,inf,inf,0.795499980449677,0.50424998998642,,
1750668919.96125,inf,inf,0.799749970436096,0.50475001335144,,
1750668920.44999,inf,inf,0.798500001430512,0.50475001335144,,
1750668921.02774,inf,inf,0.798500001430512,0.502749979496002,,
1750668921.60526,inf,inf,0.798749983310699,0.504499971866608,,
1750668922.13754,inf,inf,0.792750000953674,0.501749992370606,,
1750668922.71538,inf,inf,0.79449999332428,0.502250015735626,,
1750668923.24875,inf,inf,0.79925000667572,0.503250002861023,,
1750668923.82647,inf,inf,0.798500001430512,0.503000020980835,,
1750668924.35929,inf,inf,0.800249993801117,0.503499984741211,,
1750668924.89214,inf,inf,0.798250019550324,0.503499984741211,,
1750668925.38125,inf,inf,0.798749983310699,0.502749979496002,,
1750668925.95851,inf,inf,0.793250024318695,0.501999974250793,,
1750668926.53581,inf,inf,0.798500001430512,0.502749979496002,,
1750668927.06875,inf,inf,0.79449999332428,0.501999974250793,,
1750668927.55804,inf,inf,0.796000003814697,0.502250015735626,,
1750668928.13499,inf,inf,0.791750013828278,0.500999987125397,,
1750668928.66787,inf,inf,0.798500001430512,0.502749979496002,,
1750668929.24522,inf,inf,0.794250011444092,0.502499997615814,,
1750668929.82264,inf,inf,0.795499980449677,0.502499997615814,,
1750668930.31178,inf,inf,0.795499980449677,0.502749979496002,,
1750668930.84453,inf,inf,0.796999990940094,0.503250002861023,,
1750668931.28905,inf,inf,0.798250019550324,0.503000020980835,,
1750668931.86629,inf,inf,0.793749988079071,0.501999974250793,,
1750668932.39915,inf,inf,0.794749975204468,0.505249977111816,,
1750668932.84369,inf,inf,0.79925000667572,0.503250002861023,,
1750668933.42105,inf,inf,0.796750009059906,0.504000008106232,,
1750668933.99855,inf,inf,0.793749988079071,0.501749992370606,,
1750668934.3991,inf,inf,0.799749970436096,0.504999995231628,,
1750668934.97553,inf,inf,0.798250019550324,0.50475001335144,,
1750668935.55293,1.49724996089935,inf,0.791000008583069,0.501500010490418,,
1750668936.13038,inf,inf,0.793749988079071,0.502499997615814,,
1750668936.61963,inf,inf,0.794749975204468,0.501999974250793,,
1750668937.19687,inf,inf,0.797749996185303,0.503000020980835,,
1750668937.72986,inf,inf,0.798250019550324,0.502499997615814,,
1750668938.30711,inf,inf,0.798500001430512,0.502499997615814,,
1750668938.79619,inf,inf,0.800000011920929,0.50475001335144,,
1750668939.3737,inf,inf,0.79449999332428,0.504000008106232,,
1750668939.81862,inf,inf,0.79449999332428,0.504000008106232,,
1750668940.39557,inf,inf,0.796999990940094,0.503499984741211,,
1750668940.9728,inf,inf,0.794250011444092,0.501999974250793,,
1750668941.55031,inf,inf,0.800000011920929,0.504999995231628,,
1750668942.08306,inf,inf,0.798500001430512,0.502749979496002,,
1750668942.66076,inf,inf,0.795750021934509,0.502250015735626,,
1750668943.23789,inf,inf,0.796999990940094,0.502749979496002,,
1750668943.77199,inf,inf,0.795000016689301,0.502499997615814,,
1750668944.34858,inf,inf,0.798250019550324,0.50475001335144,,
1750668944.9266,inf,inf,0.794250011444092,0.502250015735626,,
1750668945.50378,inf,inf,0.79449999332428,0.502250015735626,,
1750668946.08124,inf,inf,0.796750009059906,0.503250002861023,,
1750668946.65883,inf,inf,0.792249977588654,0.50475001335144,,
1750668947.23595,inf,inf,0.792500019073486,0.501999974250793,,
1750668947.81334,inf,inf,0.79449999332428,0.502499997615814,,
1750668948.39089,inf,inf,0.795499980449677,0.501999974250793,,
1750668948.96815,inf,inf,0.793500006198883,0.501999974250793,,
1750668949.50111,inf,inf,0.793250024318695,0.501999974250793,,
1750668950.07929,inf,inf,0.797999978065491,0.50475001335144,,
1750668950.65706,inf,inf,0.794000029563904,0.502499997615814,,
1750668951.23413,inf,inf,0.797749996185303,0.504000008106232,,
1750668951.81149,inf,inf,0.797249972820282,0.502499997615814,,
1750668952.38903,inf,inf,0.794250011444092,0.502250015735626,,
1750668952.96628,inf,inf,0.795000016689301,0.502250015735626,,
1750668953.54362,inf,inf,0.798749983310699,0.502749979496002,,
1750668954.121,inf,inf,0.792500019073486,0.504000008106232,,
1750668954.69876,inf,inf,0.794250011444092,0.502250015735626,,
1750668955.23214,inf,inf,0.797999978065491,0.504999995231628,,
1750668955.81003,inf,inf,0.798250019550324,0.503250002861023,,
1750668956.34233,inf,inf,0.794749975204468,0.502749979496002,,
1750668956.92001,inf,inf,0.79925000667572,0.503250002861023,,
1750668957.45248,inf,inf,0.792999982833862,0.502250015735626,,
1750668957.98652,inf,inf,0.795750021934509,0.502250015735626,,
1750668958.56397,inf,inf,0.795499980449677,0.501999974250793,,
1750668959.1412,inf,inf,0.794250011444092,0.501999974250793,,
1750668959.71814,inf,inf,0.792999982833862,0.501749992370606,,
1750668960.16312,inf,inf,0.796000003814697,0.501999974250793,,
1750668960.69571,inf,inf,0.799000024795532,0.503250002861023,,
1750668961.27344,inf,inf,0.800000011920929,0.504999995231628,,
