time,range_0,range_90,range_180,range_270,range_360,
1750668184.56431,inf,0.791499972343445,0.504000008106232,inf,,
1750668185.14242,inf,0.792500019073486,0.505999982357025,inf,,
1750668185.71968,inf,0.791249990463257,0.506500005722046,inf,,
1750668186.29739,inf,0.791000008583069,0.504999995231628,inf,,rata rata
1750668186.7417,inf,0.792999982833862,0.507000029087067,inf,,0.506126003477999
1750668187.31918,inf,0.793500006198883,0.507250010967255,inf,,
1750668187.89636,inf,0.790750026702881,0.505249977111816,inf,,
1750668188.47422,inf,0.793500006198883,0.505999982357025,inf,,
1750668189.05067,inf,0.792750000953674,0.507000029087067,inf,,
1750668189.54068,inf,0.792999982833862,0.506250023841858,inf,,
1750668190.11785,inf,0.791000008583069,0.506749987602234,inf,,
1750668190.65062,inf,0.793250024318695,0.505999982357025,inf,,
1750668191.22781,inf,0.792750000953674,0.506250023841858,inf,,
1750668191.80519,inf,0.792999982833862,0.507499992847443,inf,,
1750668192.38266,inf,0.790750026702881,0.503750026226044,inf,,
1750668192.96003,inf,inf,0.507499992847443,inf,,
1750668193.49376,inf,inf,0.505999982357025,inf,,
1750668194.07095,inf,inf,0.505249977111816,inf,,
1750668194.64892,inf,inf,0.507749974727631,inf,,
1750668195.22597,inf,inf,0.505999982357025,inf,,
1750668195.80346,inf,inf,0.50424998998642,inf,,
1750668196.38079,inf,inf,0.505750000476837,inf,,
1750668196.95844,inf,inf,0.506250023841858,inf,,
1750668197.53585,inf,inf,0.507499992847443,inf,,
1750668198.11295,inf,inf,0.505500018596649,inf,,
1750668198.69084,inf,inf,0.505500018596649,inf,,
1750668199.26779,inf,inf,0.506250023841858,inf,,
1750668199.80182,inf,inf,0.513000011444092,inf,,
1750668200.37896,inf,inf,0.508000016212463,inf,,
1750668200.95642,inf,inf,0.507499992847443,inf,,
1750668201.53396,inf,inf,0.508750021457672,inf,,
1750668202.11115,inf,inf,0.507250010967255,inf,,
1750668202.68866,inf,inf,0.506749987602234,inf,,
1750668203.26598,inf,inf,0.507000029087067,inf,,
1750668203.84332,inf,inf,0.506250023841858,inf,,
1750668204.42091,inf,inf,0.507000029087067,inf,,
1750668204.99812,inf,inf,0.505999982357025,1.46975004673004,,
1750668205.48763,inf,inf,0.503499984741211,inf,,
1750668205.93176,inf,inf,0.507000029087067,inf,,
1750668206.50909,inf,inf,0.508499979972839,inf,,
1750668207.08672,inf,inf,0.507749974727631,inf,,
1750668207.66386,inf,inf,0.505999982357025,inf,,
1750668208.15261,inf,inf,0.505249977111816,1.47175002098084,,
1750668208.6861,inf,inf,0.508000016212463,inf,,
1750668209.26317,inf,inf,0.509249985218048,inf,,
1750668209.84099,inf,inf,0.508000016212463,inf,,
1750668210.37319,inf,inf,0.507000029087067,1.47049999237061,,
1750668210.95092,inf,inf,0.508499979972839,1.46825003623962,,
1750668211.52839,inf,inf,0.507749974727631,1.46525001525879,,
1750668212.10542,inf,inf,0.50475001335144,1.47500002384186,,
1750668212.63933,inf,inf,0.504999995231628,1.47224998474121,,
1750668213.21681,inf,inf,0.505750000476837,1.47399997711182,,
1750668213.79423,inf,inf,0.50475001335144,inf,,
1750668214.37146,inf,inf,0.507749974727631,1.47150003910065,,
1750668214.94877,inf,0.792999982833862,0.509500026702881,1.47125005722046,,
1750668215.48143,inf,0.789749979972839,0.505500018596649,inf,,
1750668216.05923,inf,inf,0.503000020980835,inf,,
1750668216.59273,inf,inf,0.503250002861023,inf,,
1750668217.12585,inf,inf,0.50475001335144,1.47500002384186,,
1750668217.65816,inf,inf,0.505750000476837,1.48325002193451,,
1750668218.23573,inf,inf,0.504999995231628,inf,,
1750668218.81295,inf,inf,0.507749974727631,inf,,
1750668219.30223,inf,inf,0.507749974727631,inf,,
1750668219.70192,inf,inf,0.506250023841858,inf,,
1750668220.27973,inf,inf,0.507499992847443,inf,,
1750668220.85709,inf,inf,0.505750000476837,1.47374999523163,,
1750668221.43425,inf,inf,0.50424998998642,1.474249958992,,
1750668222.01186,inf,inf,0.505500018596649,inf,,
1750668222.50104,inf,inf,0.507499992847443,1.47074997425079,,
1750668222.90076,inf,inf,0.506250023841858,1.47325003147125,,
1750668223.43329,inf,inf,0.507000029087067,inf,,
1750668223.96561,inf,inf,0.505750000476837,1.46825003623962,,
1750668224.45506,inf,inf,0.50475001335144,1.47874999046326,,
1750668225.03241,inf,inf,0.504499971866608,inf,,
1750668225.61012,inf,inf,0.506250023841858,inf,,
1750668226.05526,inf,inf,0.504499971866608,inf,,
1750668226.45426,inf,inf,0.505249977111816,1.47049999237061,,
1750668227.03163,inf,inf,0.506250023841858,inf,,
1750668227.60918,inf,inf,0.506250023841858,inf,,
1750668228.14181,inf,inf,0.508000016212463,inf,,
1750668228.63142,inf,inf,0.505249977111816,1.46850001811981,,
1750668229.20815,inf,inf,0.505999982357025,1.47399997711182,,
1750668229.78574,inf,inf,0.506749987602234,1.46875,,
1750668230.27381,inf,inf,0.506749987602234,1.46975004673004,,
1750668230.76303,inf,inf,0.507000029087067,1.46924996376038,,
1750668231.34043,inf,inf,0.507000029087067,inf,,
1750668231.91776,inf,inf,0.506250023841858,inf,,
1750668232.45037,inf,inf,0.505249977111816,inf,,
1750668232.93967,inf,inf,0.50424998998642,inf,,
1750668233.51704,inf,inf,0.506250023841858,inf,,
1750668234.0938,inf,inf,0.507000029087067,inf,,
1750668234.67186,inf,inf,0.505750000476837,inf,,
1750668235.24907,inf,inf,0.50424998998642,inf,,
1750668235.82631,inf,inf,0.505999982357025,inf,,
1750668236.40425,inf,inf,0.50475001335144,inf,,
1750668236.89302,inf,inf,0.50475001335144,inf,,
1750668237.4258,inf,inf,0.505999982357025,inf,,
1750668237.87029,inf,inf,0.505999982357025,inf,,
1750668238.40332,inf,0.790000021457672,0.504000008106232,inf,,
1750668238.98005,inf,0.792999982833862,0.506250023841858,inf,,
1750668239.55765,inf,0.790750026702881,0.505249977111816,1.47599995136261,,
1750668240.13516,inf,0.791499972343445,0.502499997615814,inf,,
1750668240.5802,inf,0.792999982833862,0.507250010967255,1.46800005435944,,
1750668241.069,inf,0.789749979972839,0.508750021457672,inf,,
1750668241.6462,inf,0.792750000953674,0.508000016212463,1.47074997425079,,
1750668242.22357,inf,0.791750013828278,0.503000020980835,inf,,
1750668242.80088,inf,0.792500019073486,0.509750008583069,1.47200000286102,,
1750668243.37823,inf,0.792750000953674,0.507749974727631,1.47200000286102,,
1750668243.9551,inf,0.789749979972839,0.504999995231628,1.46899998188019,,
1750668244.53319,inf,0.791249990463257,0.505249977111816,inf,,
1750668245.11076,inf,0.790000021457672,0.50475001335144,1.47625005245209,,
1750668245.68777,inf,0.791750013828278,0.505249977111816,inf,,
1750668246.17701,inf,0.791000008583069,0.508499979972839,1.46249997615814,,
1750668246.70985,inf,0.791499972343445,0.502499997615814,inf,,
1750668247.28714,inf,inf,0.505999982357025,inf,,
1750668247.86472,inf,inf,0.502749979496002,inf,,
1750668248.3537,inf,inf,0.504499971866608,inf,,
1750668248.88638,inf,inf,inf,inf,,
1750668249.33108,inf,inf,inf,inf,,
1750668249.6864,inf,inf,0.505750000476837,1.47025001049042,,
1750668250.26337,inf,inf,0.508499979972839,1.47175002098084,,
1750668250.79607,inf,inf,0.505500018596649,inf,,
1750668251.33016,inf,0.79925000667572,0.505750000476837,1.47200000286102,,
1750668251.86271,inf,inf,0.504999995231628,inf,,
