time,range_0,range_90,range_180,range_270,range_360,
1750667495.01091,inf,0.505999982357025,inf,inf,,
1750667495.41199,inf,0.505249977111816,inf,inf,,
1750667495.98863,inf,0.503250002861023,inf,inf,,rata rata
1750667496.56592,inf,0.504000008106232,inf,inf,,0.505952607365764
1750667497.09873,inf,0.502499997615814,inf,inf,,
1750667497.67627,inf,0.505249977111816,1.41024994850159,inf,,
1750667498.20994,inf,0.505500018596649,inf,inf,,
1750667498.74284,inf,0.503250002861023,1.4190000295639,inf,,
1750667499.31998,inf,0.506749987602234,inf,inf,,
1750667499.89778,inf,0.50424998998642,inf,inf,,
1750667500.47526,inf,0.505249977111816,inf,inf,,
1750667501.05223,inf,0.509750008583069,inf,inf,,
1750667501.62971,inf,0.503499984741211,inf,inf,,
1750667502.1632,inf,0.502499997615814,inf,inf,,
1750667502.74111,inf,0.50424998998642,inf,inf,,
1750667503.22878,inf,0.503499984741211,inf,inf,,
1750667503.80631,inf,0.508499979972839,1.40499997138977,inf,,
1750667504.29533,inf,0.507499992847443,inf,inf,,
1750667504.82773,inf,0.504999995231628,inf,inf,,
1750667505.27222,inf,0.508249998092651,inf,inf,,
1750667505.80509,inf,0.50475001335144,inf,inf,,
1750667506.29423,inf,0.505750000476837,inf,inf,,
1750667506.78271,inf,0.505999982357025,inf,inf,,
1750667507.36008,inf,0.505750000476837,inf,inf,,
1750667507.84932,inf,0.504999995231628,1.40425002574921,inf,,
1750667508.38169,inf,0.503499984741211,inf,inf,,
1750667508.95901,inf,0.50424998998642,inf,inf,,
1750667509.53647,inf,0.507749974727631,inf,inf,,
1750667510.11398,inf,0.505750000476837,inf,inf,,
1750667510.64719,inf,0.503499984741211,inf,inf,,
1750667511.22524,inf,0.505249977111816,inf,inf,,
1750667511.80262,inf,0.502499997615814,inf,inf,,
1750667512.33527,inf,0.503499984741211,inf,inf,,
1750667512.82439,inf,0.503499984741211,inf,inf,,
1750667513.35718,inf,0.507749974727631,inf,inf,,
1750667513.93454,inf,0.503499984741211,inf,inf,,
1750667514.512,inf,0.504499971866608,inf,inf,,
1750667515.0013,inf,0.507000029087067,inf,inf,,
1750667515.57878,inf,0.503250002861023,inf,inf,,
1750667516.1115,inf,0.503499984741211,inf,inf,,
1750667516.68885,inf,0.50424998998642,inf,inf,,
1750667517.13283,inf,0.503499984741211,inf,inf,,
1750667517.66559,inf,0.507250010967255,inf,inf,,
1750667518.15431,inf,0.502749979496002,inf,inf,,
1750667518.73247,inf,0.505249977111816,1.41124999523163,inf,,
1750667519.26509,inf,0.505249977111816,inf,inf,,
1750667519.7093,inf,0.504499971866608,inf,inf,,
1750667520.28687,inf,0.50475001335144,inf,inf,,
1750667520.86434,inf,0.508249998092651,1.40275001525879,inf,,
1750667521.44203,inf,0.506250023841858,inf,inf,,
1750667522.01926,inf,0.506250023841858,inf,inf,,
1750667522.46364,inf,0.504499971866608,inf,inf,,
1750667522.95182,inf,0.503000020980835,inf,inf,,
1750667523.48461,inf,0.503250002861023,inf,inf,,
1750667524.01846,inf,0.507250010967255,inf,inf,,
1750667524.55083,inf,0.506500005722046,inf,inf,,
1750667525.1281,inf,0.505750000476837,inf,inf,,
1750667525.61683,inf,0.506500005722046,inf,inf,,
1750667526.19426,inf,0.505750000476837,inf,inf,,
1750667526.72754,inf,0.505500018596649,inf,inf,,
1750667527.30489,inf,0.505500018596649,inf,inf,,
1750667527.7946,inf,0.509750008583069,inf,inf,,
1750667528.19374,inf,0.507749974727631,inf,inf,,
1750667528.77098,inf,0.505750000476837,inf,inf,,
1750667529.34871,inf,0.506749987602234,inf,inf,,
1750667529.92601,inf,0.503499984741211,inf,inf,,
1750667530.50358,inf,0.506250023841858,1.40425002574921,inf,,
1750667530.99218,inf,0.506250023841858,inf,inf,,
1750667531.57018,inf,0.504499971866608,inf,inf,,
1750667532.10263,inf,0.505500018596649,inf,inf,,
1750667532.67991,inf,0.502499997615814,inf,inf,,
1750667533.25769,inf,0.50475001335144,inf,inf,,
1750667533.74666,inf,0.504499971866608,inf,inf,,
1750667534.23425,inf,0.505750000476837,inf,inf,,
1750667534.81191,inf,0.502250015735626,inf,inf,,
1750667535.25666,inf,0.50475001335144,inf,inf,,
1750667535.70107,inf,0.505249977111816,inf,inf,,
1750667536.10111,inf,0.50424998998642,inf,inf,,
1750667536.67853,inf,0.505249977111816,inf,inf,,
1750667537.21102,inf,0.502250015735626,inf,inf,,
1750667537.69997,inf,0.50424998998642,inf,inf,,
1750667538.27737,inf,0.501999974250793,inf,inf,,
1750667538.81034,inf,0.507499992847443,inf,inf,,
1750667539.38738,inf,0.502499997615814,inf,inf,,
1750667539.83177,inf,0.505999982357025,inf,inf,,
1750667540.36534,inf,0.505750000476837,inf,inf,,
1750667540.94204,inf,0.503499984741211,inf,inf,,
1750667541.43074,inf,0.50424998998642,inf,inf,,
1750667542.0088,inf,0.505249977111816,inf,inf,,
1750667542.54149,inf,0.505750000476837,inf,inf,,
1750667543.03065,inf,0.506250023841858,inf,inf,,
1750667543.60801,inf,0.503750026226044,inf,inf,,
1750667544.18535,inf,0.501999974250793,inf,inf,,
1750667544.76273,inf,0.505999982357025,inf,inf,,
1750667545.29549,inf,0.503250002861023,inf,inf,,
1750667545.78481,inf,0.505750000476837,inf,inf,,
1750667546.31744,inf,0.505249977111816,inf,inf,,
1750667546.7618,inf,0.503499984741211,1.40275001525879,inf,,
